 	Area	Mean	X	Y	XM	YM
3339	3207	128.130	324.693	245.643	324.769	245.626
3340	3207	127.704	324.526	245.706	324.617	245.690
3341	3207	127.818	324.546	245.400	324.641	245.384
3342	3181	128.033	324.570	245.129	324.675	245.111
3343	3168	128.270	324.769	245.244	324.867	245.233
3344	3143	128.385	324.685	245.767	324.777	245.766
3345	3147	128.370	324.790	245.947	324.883	245.953
3346	3104	128.624	324.720	246.159	324.811	246.152
3347	3139	128.439	325.000	246.515	325.107	246.515
3348	3148	127.965	324.801	246.457	324.895	246.458
3349	3141	128.145	324.716	246.242	324.800	246.237
3350	3146	128.137	324.972	246.096	325.059	246.087
3351	3152	128.323	324.734	246.410	324.817	246.393
3352	3135	128.252	324.847	246.449	324.936	246.426
3353	3160	127.994	324.673	245.971	324.772	245.944
3354	3173	127.897	324.751	245.842	324.844	245.827
3355	3167	127.479	324.625	245.693	324.735	245.681
3356	3145	127.872	324.814	246.192	324.916	246.177
3357	3133	128.121	324.569	246.135	324.675	246.125
3358	3128	128.475	324.874	246.527	324.983	246.497
3359	3116	128.767	324.712	246.576	324.816	246.552
3360	3116	128.277	325.067	246.000	325.178	245.966
3361	3115	128.353	325.059	245.996	325.170	245.976
3362	3107	128.388	325.097	245.592	325.223	245.573
3363	3107	128.573	325.198	245.785	325.317	245.760
3364	3123	128.468	325.028	245.745	325.155	245.727
3365	3118	128.439	325.107	244.998	325.218	244.982
3366	3126	128.640	324.931	245.346	325.044	245.313
3367	3122	128.676	325.022	245.700	325.136	245.685
3368	3143	128.261	324.796	245.567	324.914	245.548
3369	3141	128.207	324.978	245.359	325.097	245.340
3370	3155	128.308	324.575	245.393	324.678	245.383
3371	3175	128.644	324.658	245.440	324.745	245.407
3372	3182	128.632	324.433	245.478	324.525	245.455
3373	3152	128.539	324.510	246.144	324.599	246.117
3374	3137	128.561	324.708	246.067	324.799	246.055
3375	3166	128.259	324.448	245.904	324.528	245.889
3376	3202	128.235	324.241	245.586	324.327	245.558
3377	3208	128.214	324.364	245.470	324.455	245.442
3378	3220	128.082	324.084	245.786	324.172	245.744
3379	3240	127.720	323.845	245.880	323.925	245.840
3380	3247	127.728	324.007	245.955	324.083	245.900
3381	3239	127.634	323.902	245.816	323.997	245.758
3382	3232	127.514	324.325	245.510	324.425	245.452
3383	3241	127.661	323.751	245.311	323.853	245.256
3384	3252	127.636	324.028	245.136	324.137	245.091
3385	3264	127.464	323.829	245.476	323.942	245.430
3386	3267	127.141	323.872	245.531	323.979	245.499
3387	3254	127.290	323.786	245.798	323.888	245.758
3388	3267	126.919	323.776	245.551	323.879	245.519
3389	3265	127.068	323.921	245.650	324.013	245.608
3390	3252	127.105	323.931	245.231	324.021	245.193
3391	3274	127.001	323.887	245.094	323.978	245.048
3392	3274	127.007	323.628	245.091	323.719	245.057
3393	3279	126.934	323.854	245.151	323.943	245.102
3394	3264	127.057	323.980	245.470	324.071	245.419
3395	3271	127.201	324.192	245.569	324.287	245.535
3396	3239	127.097	323.999	245.246	324.107	245.227
3397	3248	127.249	324.450	244.768	324.552	244.746
3398	3238	127.410	324.032	244.777	324.132	244.759
3399	3267	127.079	324.342	244.906	324.447	244.883
3400	3241	127.250	324.163	245.179	324.266	245.145
3401	3225	127.245	324.542	245.100	324.646	245.065
3402	3251	127.056	324.145	244.670	324.253	244.641
3403	3266	127.270	323.999	244.815	324.104	244.799
3404	3267	127.617	324.007	244.991	324.110	244.962
3405	3262	127.240	323.843	244.834	323.949	244.804
3406	3263	127.349	323.924	244.715	324.042	244.702
3407	3250	127.538	323.842	244.317	323.952	244.326
3408	3256	127.219	324.016	244.064	324.123	244.063
3409	3257	127.246	323.993	244.044	324.111	244.049
3410	3239	127.559	324.073	243.687	324.190	243.681
3411	3247	127.751	323.965	244.393	324.069	244.380
3412	3263	127.772	324.106	244.944	324.207	244.925
3413	3251	127.759	323.690	244.750	323.789	244.737
3414	3257	127.574	323.941	244.693	324.032	244.684
3415	3271	127.805	323.615	244.871	323.719	244.878
3416	3273	127.641	323.958	244.906	324.058	244.893
3417	3247	127.740	324.334	244.936	324.425	244.932
3418	3253	127.431	324.328	245.354	324.416	245.344
3419	3237	127.365	324.647	245.201	324.743	245.203
3420	3241	127.015	324.441	245.572	324.539	245.551
3421	3226	126.909	325.214	245.576	325.319	245.560
3422	3237	126.859	325.731	245.768	325.829	245.747
3423	3222	126.819	326.883	245.656	326.993	245.635
3424	3234	126.815	327.747	245.921	327.865	245.921
3425	3242	126.622	328.865	246.631	328.969	246.622
3426	3250	126.227	329.617	247.005	329.733	246.986
3427	3257	126.338	330.611	246.416	330.726	246.384
3428	3256	126.731	331.237	246.138	331.355	246.101
3429	3256	126.576	332.498	246.470	332.593	246.448
3430	3270	126.913	333.355	246.721	333.454	246.692
3431	3286	126.856	334.224	246.790	334.333	246.767
3432	3308	127.158	334.821	246.791	334.904	246.760
3433	3314	127.162	335.688	246.864	335.772	246.839
3434	3329	126.984	336.341	247.140	336.421	247.102
3435	3349	126.791	336.713	246.904	336.785	246.865
3436	3357	126.985	338.233	246.909	338.295	246.880
3437	3362	126.938	339.070	246.224	339.121	246.174
3438	3369	127.055	340.236	246.019	340.284	245.996
3439	3392	126.899	340.876	245.997	340.922	245.972
3440	3398	126.451	341.312	245.826	341.349	245.783
3441	3420	126.484	341.790	245.684	341.819	245.650
3442	3437	126.657	342.239	245.234	342.264	245.201
3443	3457	126.846	342.585	245.304	342.613	245.278
3444	3469	126.889	343.336	245.424	343.357	245.403
3445	3486	127.062	343.645	245.540	343.677	245.518
3446	3502	126.889	344.477	245.726	344.505	245.712
3447	3515	126.670	343.921	245.694	343.950	245.686
3448	3512	126.973	344.118	245.580	344.150	245.572
3449	3512	126.855	343.917	245.522	343.951	245.525
3450	3525	127.122	343.854	245.492	343.895	245.487
3451	3523	127.119	343.827	245.629	343.894	245.614
3452	3526	127.126	342.722	245.297	342.802	245.303
3453	3529	127.424	342.536	245.112	342.625	245.118
3454	3515	127.376	341.192	244.658	341.278	244.667
3455	3525	127.157	340.873	245.172	340.954	245.183
3456	3512	127.385	340.043	245.193	340.134	245.189
3457	3521	127.521	338.791	245.077	338.899	245.097
3458	3526	127.742	337.855	244.921	337.961	244.926
3459	3540	127.642	337.200	245.247	337.301	245.243
3460	3517	127.501	336.472	245.337	336.573	245.338
3461	3511	127.580	335.789	245.190	335.898	245.181
3462	3509	127.226	334.554	244.980	334.654	244.975
3463	3511	127.376	333.995	244.939	334.095	244.937
3464	3510	127.372	333.183	245.228	333.291	245.222
3465	3512	127.341	332.023	245.407	332.131	245.402
3466	3522	127.814	331.806	245.509	331.909	245.502
3467	3516	127.845	331.093	245.333	331.200	245.344
