 	Area	Mean	X	Y	XM	YM
3583	3759	119.672	317.085	243.986	317.295	243.913
3584	3688	120.056	317.678	244.301	317.891	244.233
3585	3706	120.042	317.320	243.616	317.529	243.549
3586	3706	120.125	317.504	243.461	317.706	243.395
3587	3724	119.765	317.607	243.049	317.827	242.991
3588	3722	119.908	317.545	243.383	317.743	243.324
3589	3720	119.973	317.525	243.948	317.722	243.917
3590	3748	120.095	317.326	244.285	317.525	244.255
3591	3765	119.516	317.132	244.390	317.331	244.362
3592	3782	119.564	317.013	244.080	317.213	244.031
3593	3795	119.581	316.860	243.995	317.056	243.935
3594	3760	119.703	317.032	243.881	317.234	243.826
3595	3765	119.857	316.986	244.017	317.188	243.953
3596	3773	119.725	316.974	244.308	317.177	244.245
3597	3761	119.683	316.975	244.730	317.183	244.673
3598	3768	119.261	316.773	244.096	316.985	244.041
3599	3796	119.381	316.685	244.260	316.866	244.203
3600	3795	119.605	316.398	244.971	316.570	244.928
3601	3793	119.601	316.826	244.676	316.987	244.631
3602	3790	119.999	316.494	245.231	316.654	245.177
3603	3800	119.885	316.547	245.891	316.700	245.839
3604	3790	120.103	316.650	245.272	316.803	245.215
3605	3792	119.883	316.697	245.604	316.847	245.526
3606	3761	119.849	317.283	245.489	317.432	245.421
3607	3757	119.878	317.336	245.496	317.498	245.409
3608	3743	120.098	317.274	245.721	317.438	245.634
3609	3744	119.763	317.481	245.144	317.642	245.071
3610	3751	119.541	317.477	245.330	317.647	245.252
3611	3780	119.435	316.820	244.681	316.983	244.593
3612	3778	119.761	316.883	244.623	317.042	244.522
3613	3746	119.765	316.761	245.188	316.929	245.067
3614	3757	119.760	317.083	245.363	317.243	245.262
3615	3759	119.984	316.764	245.119	316.933	245.021
3616	3743	120.341	317.217	244.921	317.371	244.823
3617	3723	120.292	317.095	244.936	317.249	244.834
3618	3717	120.228	317.160	244.856	317.326	244.753
3619	3721	120.201	317.329	243.847	317.515	243.739
3620	3714	120.402	317.140	244.104	317.313	244.002
3621	3722	120.120	317.199	244.060	317.370	243.961
3622	3711	119.900	317.044	244.138	317.219	244.053
3623	3720	119.903	317.007	243.433	317.180	243.341
3624	3727	119.827	316.725	243.588	316.897	243.495
3625	3733	119.765	316.417	244.372	316.596	244.289
3626	3751	119.608	316.231	244.161	316.400	244.087
3627	3772	119.664	316.556	244.569	316.706	244.492
3628	3772	119.671	315.920	244.796	316.053	244.717
3629	3768	119.571	316.348	243.957	316.471	243.873
3630	3769	119.775	316.061	243.919	316.198	243.847
3631	3768	119.770	316.352	242.860	316.497	242.791
